Region,Site,Area,Note,Locus ID,Original Sort Order,Locus/Wall,Number,Square,Phase,Contextual Integrity (I) Code,Contextual Integrity (I),Phasing of Contents (PoC),Comments,Context,Chapter,Status
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9721,733,Locus,9721,AK/33,7b?,u,unsealed,7b?,Mudbrick debris and rubble,8 and 7, Dor IIA: 14,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9722,734,Locus,9722,AH–AI/33,6b,u,unsealed,6,Unsealed fill,6, Dor IIA: 5,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9723,735,Locus,9723,AI/33,5?/6?,u,unsealed,5+6,Mudbrick debris from W9729 fallen on a floor?,6 and later, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9724,736,Locus,9724,AI/31,6,u,unsealed,6,Fieldstone rubble,6, Dor IIA: 8,Final
Israel,Tel Dor,AK:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9725,737,Locus,9725,AK/33,≻6,d?,possibly disturbed,≻6,Robber trench of W9975 and W9066,6 and later, Dor IIA: 15,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9726,738,Locus,9726,AI/33,5?,s,sealed,⪯5,Mudbrick debris,6 and later, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9727,739,Locus,9727,AI/32,8?/7d?,u,unsealed,8?/7?,"Floor makeup, mudbrick fill to floor",8 and 7, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9728,740,Wall,9728,AI/32,7,--,--,--,Mudbrick wall on stone socle,--, Dor IIA: 9,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9729,741,Wall,9729,AH–AI/33,5?/6–9,--,--,--,"Fieldstone and mudbrick wall, Stage a = uppermost fieldstones, b = mudbricks, c = lowermost stone socle",--, Dor IIA: 5,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9730,742,Locus,9730,AI/32,7b,u,unsealed,7(b?),"Deteriorated mudbrick material, below F9554 (but unsealed), above F9857",9300, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9731,743,Locus,9731,AI/33,6?/5??,u,unsealed,5+6,Mudbrick debris,6 and later, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9732,744,Locus,9732,AI/33,6?/5??,u,unsealed,5+6,Floor makeup of F9723 and mudbrick debris,6 and later, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9733,745,Locus,9733,AI/32,--,n,non-stratified,--,Cleaning,--,,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9734,746,Locus,9734,AH–AI/33,6b,u,unsealed,6,Unsealed fill,6, Dor IIA: 5,Final
Israel,Tel Dor,AH:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9735,747,Wall,9735,AH/33,6c–6b/7?,--,--,--,Mudbrick wall,--, Dor IIA: 7,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9736,748,Locus,9736,AI/32,8/7d?,u,unsealed,8?/7?,Pit cut from F9727,18035, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9737,749,Locus,9737,AI/32,9,s,sealed,9,Destruction layer,9795 east, Dor IIA: 9,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9738,750,Locus,9738,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9739,751,Locus,9739,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9740,752,Locus,9740,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9741,753,Locus,9741,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9742,754,Locus,9742,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9743,755,Locus,9743,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9744,756,Locus,9744,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9745,757,Locus,9745,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9746,758,Locus,9746,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9747,759,Locus,9747,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9748,760,Locus,9748,,,,,,Not used,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9749,761,Locus,9749,,,,,,Not used,,,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9750,762,Locus,9750,AI/34,--,n,non-stratified,--,Cleaning,--,,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9751,763,Locus,9751,AI/34,4,u,unsealed,4,Pit 9751 (L9751 = L9785 = L9833),Pit 9751, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9752,764,Locus,9752,AI/34,5?,u,unsealed,5+6,Fill,5, Dor IIA: 11,Final
Israel,Tel Dor,AH–AI:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9753,765,Locus,9753,AH–AI/33–34,4,u,unsealed,4,Pit 9753 (L9753 = L9697 = L9701 = L9797),Pit 9753," Dor IIIA: 5, 9, 10",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9754,766,Locus,9754,AI/34,5?,u,unsealed,5?+6?+4?,Mudbrick debris on floor,--, Dor IIA: 11,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9755,767,Locus,9755,AI/33,6?/7?,u,unsealed,6+7?,Mudbrick debris,6, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9756,768,Locus,9756,AI/32,9,u,unsealed,9,"Floor makeup, fill above destruction layer",9795 upper, Dor IIA: 9,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9757,769,Locus,9757,AG/33,2?–5?,d?,possibly disturbed,2?–5?,"Unsealed fill above Phase 5 floor level, possible disturbance from Phase 4 Pits L9875 or L9871",--," Dor IIIA: 5, Dor IIA: 4",Not Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9758,770,Locus,9758,AG/33,5/4?,d?,possibly disturbed,5?+4?,"Phase 4 or 5 disturbance, possible Phase 4 disturbance from Pit L9871",--," Dor IIIA: 5, Dor IIA: 4",Not Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9759,771,Locus,9759,AH–AI/33,6b,u,unsealed,6,Unsealed fill to floor,6, Dor IIA: 5,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9760,772,Locus,9760,AI/32,1b–4?,d,disturbed,⪰4,Gray deposit with many sherds and tesserae,--, Dor IIIA: 8,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9761,773,Wall,9761,AI/34,3?/2?/1b?,--,--,--,Ashlar foundation?,--, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9762,774,Locus,9762,AI/32,7?/8?,u,unsealed,7?/8?,Pit cut from Phase 7 F9703 or Phase 8? F9727,8 and 7, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9763,775,Locus,9763,AI/32,6a–4?,u,unsealed,6+4?,Fill to floor,6 and later, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9764,776,Locus,9764,AI/32,6b,u,unsealed,6b,"Floor makeup of F9763 and fill below, to floor",6b, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9765,777,Locus,9765,AI/32,9,s,sealed,9,Destruction layer,9795 east, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9766,778,Locus,9766,AI/32,8,u,unsealed,8,"Pit, lower part of L9736",18035, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9767,779,Locus,9767,AI/34,4,u,unsealed,4,Pit 9767 (L9767 = L9786 = L9799 = L9809),Pit 9767, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9768,780,Locus,9768,AI/34,5?,u,unsealed,5?+6??–4?,Fill on floor,5, Dor IIA: 11,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9769,781,Locus,9769,AH–AI/33,5?/6a?,u,unsealed,5–6a,Mudbrick debris,6 and later, Dor IIA: 5,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9770,782,Locus,9770,AI/32,6b,u,unsealed,6b,"Floor makeup of F9764 and fill below, to floor",6b, Dor IIA: 9,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9771,783,Locus,9771,AH–AI/33,6a?/5?,u,unsealed,6a–5?,Mudbrick debris,6, Dor IIA: 5,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9772,784,Locus,9772,AG/33,4?/5?,u/d?,unsealed/possibly disturbed,5?+4?,Unsealed fill above Phase 5 floor level; possible Persian Pit disturbance from Pits 9875 or 9890,--," Dor IIIA: 5, Dor IIA: 4",Not Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9773,785,Locus,9773,AG/33,1a,d,disturbed,1,"Robber Trench 9424 (L9404 = L9424 = L9773 = L9802) for W9278, W9839, W9840, and W9425",--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AJ:30–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9774,786,Wall,9774,AJ/34,1b?,--,--,--,Single ashlar on rubble course,--, Dor IIIA: 14,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9775,787,Locus,9775,AI/32,6c,u,unsealed,6b,"Floor makeup of F9770 and fill below, to floor",6b, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9776,788,Locus,9776,AI/32,7a?/6?,u,unsealed,7?/6?,Mudbrick debris of Phase 7?,--, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9777,789,Locus,9777,AI/34,5?,u,unsealed,5?+6??,Mudbrick debris,--, Dor IIA: 11,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9778,790,Locus,9778,AI/34,4,u,unsealed,4,Pit 9680 (L9680 = L9186 = L9613 = L9649 = L9778 = part of L9754),Pit 9680," Dor IIIA: 10, 12, Dor IIA: 11",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9779,791,Locus,9779,AI/32,9,s,sealed,9,Destruction layer,9795 east, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9780,792,Locus,9780,AI/34,6?,u,unsealed,6+5?,Mudbrick debris below level of F9754,6 and later, Dor IIA: 11,Final
Israel,Tel Dor,AA:32,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9781,793,Locus,9781,AA/32,2?,d,disturbed,2?,Possible fragment of sump wall?,--, Dor IIIA: 4,Not Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9782,794,Locus,9782,,,,,,Cancelled,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9783,795,Locus,9783,,,,,,Cancelled,,,Final
Israel,Tel Dor,Not-specified,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9784,796,Locus,9784,,,,,,Cancelled,,,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9785,797,Locus,9785,AI/34,4,u,unsealed,4,Pit 9751 (L9751 = L9785 = L9833),Pit 9751, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9786,798,Locus,9786,AI/34,4,u,unsealed,4,Pit 9767 (L9767 = L9786 = L9799 = L9809),Pit 9767, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9787,799,Locus,9787,AI/32,7a?/6?,u,unsealed,7?/6?,Floor makeup of F9775 and fill below,--, Dor IIA: 9,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9788,800,Locus,9788,AG/33,4?/5?,d?,possibly disturbed,4?/5?,Gray brown fill,--," Dor IIIA: 5, Dor IIA: 4",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9789,801,Locus,9789,AI/34,6?,u,unsealed,6+5?,Mudbrick debris(?) to floor,6, Dor IIA: 11,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9790,802,Locus,9790,AH–AI/33,6a/5??,u,unsealed,6?,Brown soil and ashes on floor below W9702(?),6 and later, Dor IIA: 5,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9791,803,Locus,9791,AH–AI/33,6a,s,sealed,6a,"Floor makeup of F9790, mudbrick debris below",6 and later, Dor IIA: 5,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9792,804,Locus,9792,AG/33,2?–5?,--,--,--,Rubble wall?,--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9793,805,Locus,9793,AI/34,5?,u,unsealed,5?+6?+4?,Fill on floor,--, Dor IIA: 11,Final
Israel,Tel Dor,AH–AI:33,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9794,806,Locus,9794,AH–AI/33,5?/6?,d?,possibly disturbed,6,Mudbrick debris?,--, Dor IIA: 11,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9795,807,Locus,9795,AI/32,9,s,sealed,9,Destruction layer to floor,9795 east, Dor IIA: 9,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9796,808,Locus,9796,AG/33,5,d?,possibly disturbed,5?+4?,Unsealed fill down to fragmentary Phase 5 floor; possible Phase 4 Persian disturbance from Pits 9875 or 9871,6 and later," Dor IIIA: 5, Dor IIA: 4",Not Final
Israel,Tel Dor,AH–AI:34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9797,810,Locus,9797,AH–AI/34,4,u,unsealed,4/5?/6a?,Pit 9753 (L9753 = L9697 = L9701 = L9797),Pit 9753," Dor IIIA: 5, 9, 10",Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9798,811,Locus,9798,AI/34,5?,u,unsealed,5+6,Mudbrick debris?,--, Dor IIA: 11,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9799,812,Locus,9799,AI/34,4,u,unsealed,4,Pit 9767 (L9767 = L9786 = L9799 = L9809),Pit 9767, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Wall 9800,813,Wall,9800,AI/31–32,9,--,--,--,Fieldstone wall,--," Dor IIA: 8, 9",Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9801,814,Locus,9801,AI/34,6?,u,unsealed,6?,Possible mudbrick debris from W9211,6 and later, Dor IIA: 11,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9802,815,Locus,9802,AG/33,1a,d,disturbed,1,"Robber Trench 9424 (L9404 = L9424 = L9773 = L9802) for W9278, W9839, W9840, and W9425",--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9803,816,Locus,9803,AG/33,2/3?,s,sealed,2/3?,Sealed fill below paving stones 9426 (F9405),--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9804,817,Locus,9804,AI/32,9,s,sealed,--,Narrow southern extension of western wall of “trough” installation L9982,9795 west, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9805,818,Locus,9805,AI/32,9,s,sealed,9,"Destruction layer, “trough” bin contents",9795 east, Dor IIA: 9,Final
Israel,Tel Dor,AG:33–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9806,819,Locus,9806,AG/33,2/3?,u,unsealed,2/3?,Unsealed fill below paving stones 9426 (F9405),--, Dor IIIA: 5,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9807,820,Locus,9807,AI/32,7a?/6c?,u,unsealed,7/6?,Mudbrick debris,9300, Dor IIA: 9,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9808,821,Locus,9808,AI/33,7,u,unsealed,7,Mudbrick debris in “Doreen’s room”,9816, Dor IIA: 10,Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9809,822,Locus,9809,AI/34,4,u,unsealed,4,Pit 9767 (L9767 = L9786 = L9799 = L9809),Pit 9767, Dor IIIA: 10,Not Final
Israel,Tel Dor,AI:31–34,"To facilitate navigation, Open Context editors created this record based on the ""Square"" attribute associated with Loci. This record purely serves as a navigation convenience and serves no purpose for interpretation or analysis.",Locus 9810,823,Locus,9810,AI/34,5?,u,unsealed,5+6,Mudbrick debris on floor,--, Dor IIA: 11,Final
